title,genre,description,language,duration,episodes,rating,cast,keywords,source,poster_url,combined_features
donnie brasco,biography crime drama,an fbi undercover agent infiltrates the mob and finds himself identifying more with the mafia life at the expense of his regular one,english,127.0,1,7.7,al pacino johnny depp michael madsen bruno kirby,biography crime drama,imdb,"https://m.media-amazon.com/images/M/MV5BYzMzMDZkYWEtODIzNS00YjI3LTkxNTktOWEyZGM3ZWI2MWM4XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",biography crime drama english 127.0 1 biography crime drama an fbi undercover agent infiltrates the mob and finds himself identifying more with the mafia life at the expense of his regular one al pacino johnny depp michael madsen bruno kirby
shine,biography drama music,pianist david helfgott driven by his father and teachers has a breakdown years later he returns to the piano to popular if not critical acclaim,english,105.0,1,7.7,geoffrey rush armin mueller stahl justin braine sonia todd,biography drama music,imdb,"https://m.media-amazon.com/images/M/MV5BMTQzMzcxMzUyMl5BMl5BanBnXkFtZTgwNDI1MjgxMTE@._V1_UX67_CR0,0,67,98_AL_.jpg",biography drama music english 105.0 1 biography drama music pianist david helfgott driven by his father and teachers has a breakdown years later he returns to the piano to popular if not critical acclaim geoffrey rush armin mueller stahl justin braine sonia todd
primal fear,crime drama mystery,an altar boy is accused of murdering a priest and the truth is buried several layers deep,english,129.0,1,7.7,richard gere laura linney edward norton john mahoney,crime drama mystery,imdb,"https://m.media-amazon.com/images/M/MV5BZTM2NWI2OGYtYWNhMi00ZTlmLTg2ZTAtMmI5NWRjODA5YTE1XkEyXkFqcGdeQXVyODE2OTYwNTg@._V1_UX67_CR0,0,67,98_AL_.jpg",crime drama mystery english 129.0 1 crime drama mystery an altar boy is accused of murdering a priest and the truth is buried several layers deep richard gere laura linney edward norton john mahoney
hamlet,drama,hamlet prince of denmark returns home to find his father murdered and his mother remarrying the murderer his uncle meanwhile war is brewing,english,242.0,1,7.7,kenneth branagh julie christie derek jacobi kate winslet,drama,imdb,"https://m.media-amazon.com/images/M/MV5BM2U5OWM5NWQtZDYwZS00NmI3LTk4NDktNzcwZjYzNmEzYWU1XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UY98_CR0,0,67,98_AL_.jpg",drama english 242.0 1 drama hamlet prince of denmark returns home to find his father murdered and his mother remarrying the murderer his uncle meanwhile war is brewing kenneth branagh julie christie derek jacobi kate winslet
a little princess,drama family fantasy,a young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead,english,97.0,1,7.7,liesel matthews eleanor bron liam cunningham rusty schwimmer,drama family fantasy,imdb,"https://m.media-amazon.com/images/M/MV5BZDQzMGE5ODYtZDdiNC00MzZjLTg2NjAtZTk0ODlkYmY4MTQzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",drama family fantasy english 97.0 1 drama family fantasy a young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead liesel matthews eleanor bron liam cunningham rusty schwimmer
do lok tin si,comedy crime drama,this hong kong set crime drama follows the lives of a hitman hoping to get out of the business and his elusive female partner,english,99.0,1,7.7,leon lai michelle reis takeshi kaneshiro charlie yeung,comedy crime drama,imdb,"https://m.media-amazon.com/images/M/MV5BZjM4NWRhYTQtYTJlNC00ZmMyLWEzNTAtZDA2MjJjYTQ5ZTVmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",comedy crime drama english 99.0 1 comedy crime drama this hong kong set crime drama follows the lives of a hitman hoping to get out of the business and his elusive female partner leon lai michelle reis takeshi kaneshiro charlie yeung
il postino,biography comedy drama,a simple italian postman learns to love poetry while delivering mail to a famous poet and then uses this to woo local beauty beatrice,english,108.0,1,7.7,massimo troisi massimo troisi philippe noiret maria grazia cucinotta,biography comedy drama,imdb,"https://m.media-amazon.com/images/M/MV5BZmVhNWIzOTMtYmVlZC00ZDVmLWIyODEtODEzOTAxYjAwMzVlXkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_UY98_CR1,0,67,98_AL_.jpg",biography comedy drama english 108.0 1 biography comedy drama a simple italian postman learns to love poetry while delivering mail to a famous poet and then uses this to woo local beauty beatrice massimo troisi massimo troisi philippe noiret maria grazia cucinotta
clerks,comedy,a day in the lives of two convenience clerks named dante and randal as they annoy customers discuss movies and play hockey on the store roof,english,92.0,1,7.7,brian o halloran jeff anderson marilyn ghigliotti lisa spoonauer,comedy,imdb,"https://m.media-amazon.com/images/M/MV5BNzE1Njk0NmItNDhlMC00ZmFlLWI4ZTUtYTY4ZjgzNjkyMTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",comedy english 92.0 1 comedy a day in the lives of two convenience clerks named dante and randal as they annoy customers discuss movies and play hockey on the store roof brian o halloran jeff anderson marilyn ghigliotti lisa spoonauer
short cuts,comedy drama,the day to day lives of several suburban los angeles residents,english,188.0,1,7.7,andie macdowell julianne moore tim robbins bruce davison,comedy drama,imdb,"https://m.media-amazon.com/images/M/MV5BZWY0ODc2NDktYmYxNS00MGZiLTk5YjktZjgwZWFhNDQ0MzNhXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX67_CR0,0,67,98_AL_.jpg",comedy drama english 188.0 1 comedy drama the day to day lives of several suburban los angeles residents andie macdowell julianne moore tim robbins bruce davison
philadelphia,drama,when a man with hiv is fired by his law firm because of his condition he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit,english,125.0,1,7.7,tom hanks denzel washington roberta maxwell buzz kilman,drama,imdb,"https://m.media-amazon.com/images/M/MV5BNDE0MWE1ZTMtOWFkMS00YjdiLTkwZTItMDljYjY3MjM0NTk5XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UX67_CR0,0,67,98_AL_.jpg",drama english 125.0 1 drama when a man with hiv is fired by his law firm because of his condition he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit tom hanks denzel washington roberta maxwell buzz kilman
the muppet christmas carol,comedy drama family,the muppet characters tell their version of the classic tale of an old and bitter miser s redemption on christmas eve,english,85.0,1,7.7,michael caine kermit the frog dave goelz miss piggy,comedy drama family,imdb,"https://m.media-amazon.com/images/M/MV5BN2Y0NWRkNWItZWEwNi00MDNlLWJmZDYtNTkwYzI5Nzg4MjVjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",comedy drama family english 85.0 1 comedy drama family the muppet characters tell their version of the classic tale of an old and bitter miser s redemption on christmas eve michael caine kermit the frog dave goelz miss piggy
