title,genre,description,language,duration,episodes,rating,cast,keywords,source,poster_url,combined_features
togo,adventure biography drama,the story of togo the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race,english,113.0,1,8.0,willem dafoe julianne nicholson christopher heyerdahl richard dormer,adventure biography drama,imdb,"https://m.media-amazon.com/images/M/MV5BNjJkYTc5N2UtMGRlMC00M2FmLTk0ZWMtOTYxNDUwNjI2YzljXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",adventure biography drama english 113.0 1 adventure biography drama the story of togo the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race willem dafoe julianne nicholson christopher heyerdahl richard dormer
airlift,drama history,when iraq invades kuwait in august 1990 a callous indian businessman becomes the spokesperson for more than 170 000 stranded countrymen,hindi,130.0,1,8.0,akshay kumar nimrat kaur kumud mishra prakash belawadi,drama history,imdb,"https://m.media-amazon.com/images/M/MV5BMGE1ZTkyOTMtMTdiZS00YzI2LTlmYWQtOTE5YWY0NWVlNjlmXkEyXkFqcGdeQXVyNjQ3ODkxMjE@._V1_UY98_CR0,0,67,98_AL_.jpg",drama history hindi 130.0 1 drama history when iraq invades kuwait in august 1990 a callous indian businessman becomes the spokesperson for more than 170 000 stranded countrymen akshay kumar nimrat kaur kumud mishra prakash belawadi
bajrangi bhaijaan,action adventure comedy,an indian man with a magnanimous heart takes a young mute pakistani girl back to her homeland to reunite her with her family,hindi,163.0,1,8.0,salman khan harshaali malhotra nawazuddin siddiqui kareena kapoor,action adventure comedy,imdb,"https://m.media-amazon.com/images/M/MV5BMjE1NjQ5ODc2NV5BMl5BanBnXkFtZTgwOTM5ODIxNjE@._V1_UY98_CR0,0,67,98_AL_.jpg",action adventure comedy hindi 163.0 1 action adventure comedy an indian man with a magnanimous heart takes a young mute pakistani girl back to her homeland to reunite her with her family salman khan harshaali malhotra nawazuddin siddiqui kareena kapoor
baby,action crime thriller,an elite counter intelligence unit learns of a plot masterminded by a maniacal madman with the clock ticking it s up to them to track the terrorists international tentacles and prevent them from striking at the heart of india,hindi,159.0,1,8.0,akshay kumar danny denzongpa rana daggubati taapsee pannu,action crime thriller,imdb,"https://m.media-amazon.com/images/M/MV5BYTdhNjBjZDctYTlkYy00ZGIxLWFjYTktODk5ZjNlMzI4NjI3XkEyXkFqcGdeQXVyMjY1MjkzMjE@._V1_UY98_CR0,0,67,98_AL_.jpg",action crime thriller hindi 159.0 1 action crime thriller an elite counter intelligence unit learns of a plot masterminded by a maniacal madman with the clock ticking it s up to them to track the terrorists international tentacles and prevent them from striking at the heart of india akshay kumar danny denzongpa rana daggubati taapsee pannu
la la land,comedy drama music,while navigating their careers in los angeles a pianist and an actress fall in love while attempting to reconcile their aspirations for the future,english,128.0,1,8.0,ryan gosling emma stone rosemarie dewitt j k simmons,comedy drama music,imdb,"https://m.media-amazon.com/images/M/MV5BMzUzNDM2NzM2MV5BMl5BanBnXkFtZTgwNTM3NTg4OTE@._V1_UX67_CR0,0,67,98_AL_.jpg",comedy drama music english 128.0 1 comedy drama music while navigating their careers in los angeles a pianist and an actress fall in love while attempting to reconcile their aspirations for the future ryan gosling emma stone rosemarie dewitt j k simmons
lion,biography drama,a five year old indian boy is adopted by an australian couple after getting lost hundreds of kilometers from home 25 years later he sets out to find his lost family,english,118.0,1,8.0,dev patel nicole kidman rooney mara sunny pawar,biography drama,imdb,"https://m.media-amazon.com/images/M/MV5BMjA3NjkzNjg2MF5BMl5BanBnXkFtZTgwMDkyMzgzMDI@._V1_UX67_CR0,0,67,98_AL_.jpg",biography drama english 118.0 1 biography drama a five year old indian boy is adopted by an australian couple after getting lost hundreds of kilometers from home 25 years later he sets out to find his lost family dev patel nicole kidman rooney mara sunny pawar
the martian,adventure drama sci fi,an astronaut becomes stranded on mars after his team assume him dead and must rely on his ingenuity to find a way to signal to earth that he is alive,english,144.0,1,8.0,matt damon jessica chastain kristen wiig kate mara,adventure drama sci fi,imdb,"https://m.media-amazon.com/images/M/MV5BMTc2MTQ3MDA1Nl5BMl5BanBnXkFtZTgwODA3OTI4NjE@._V1_UX67_CR0,0,67,98_AL_.jpg",adventure drama sci fi english 144.0 1 adventure drama sci fi an astronaut becomes stranded on mars after his team assume him dead and must rely on his ingenuity to find a way to signal to earth that he is alive matt damon jessica chastain kristen wiig kate mara
zootopia,animation adventure comedy,in a city of anthropomorphic animals a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy,english,108.0,1,8.0,rich moore jared bush ginnifer goodwin jason bateman,animation adventure comedy,imdb,"https://m.media-amazon.com/images/M/MV5BOTMyMjEyNzIzMV5BMl5BanBnXkFtZTgwNzIyNjU0NzE@._V1_UX67_CR0,0,67,98_AL_.jpg",animation adventure comedy english 108.0 1 animation adventure comedy in a city of anthropomorphic animals a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy rich moore jared bush ginnifer goodwin jason bateman
bahubali the beginning,action drama,in ancient india an adventurous and daring man becomes involved in a decades old feud between two warring peoples,telugu,159.0,1,8.0,prabhas rana daggubati ramya krishnan sathyaraj,action drama,imdb,"https://m.media-amazon.com/images/M/MV5BYWVlMjVhZWYtNWViNC00ODFkLTk1MmItYjU1MDY5ZDdhMTU3XkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_UX67_CR0,0,67,98_AL_.jpg",action drama telugu 159.0 1 action drama in ancient india an adventurous and daring man becomes involved in a decades old feud between two warring peoples prabhas rana daggubati ramya krishnan sathyaraj
kaguyahime no monogatari,animation adventure drama,found inside a shining stalk of bamboo by an old bamboo cutter and his wife a tiny girl grows rapidly into an exquisite young lady the mysterious young princess enthralls all who encounter her but ultimately she must confront her fate the punishment for her crime,english,137.0,1,8.0,chlo grace moretz james caan mary steenburgen james marsden,animation adventure drama,imdb,"https://m.media-amazon.com/images/M/MV5BNThmMWMyMWMtOWRiNy00MGY0LTg1OTUtNjYzODg2MjdlZGU5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY98_CR1,0,67,98_AL_.jpg",animation adventure drama english 137.0 1 animation adventure drama found inside a shining stalk of bamboo by an old bamboo cutter and his wife a tiny girl grows rapidly into an exquisite young lady the mysterious young princess enthralls all who encounter her but ultimately she must confront her fate the punishment for her crime chlo grace moretz james caan mary steenburgen james marsden
wonder,drama family,based on the new york times bestseller this movie tells the incredibly inspiring and heartwarming story of august pullman a boy with facial differences who enters the fifth grade attending a mainstream elementary school for the first time,english,113.0,1,8.0,jacob tremblay owen wilson izabela vidovic julia roberts,drama family,imdb,"https://m.media-amazon.com/images/M/MV5BYjFhOWY0OTgtNDkzMC00YWJkLTk1NGEtYWUxNjhmMmQ5ZjYyXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_UX67_CR0,0,67,98_AL_.jpg",drama family english 113.0 1 drama family based on the new york times bestseller this movie tells the incredibly inspiring and heartwarming story of august pullman a boy with facial differences who enters the fifth grade attending a mainstream elementary school for the first time jacob tremblay owen wilson izabela vidovic julia roberts
gully boy,drama music romance,a coming of age story based on the lives of street rappers in mumbai,hindi,154.0,1,8.0,vijay varma nakul roshan sahdev ranveer singh vijay raaz,drama music romance,imdb,"https://m.media-amazon.com/images/M/MV5BZDkzMTQ1YTMtMWY4Ny00MzExLTkzYzEtNzZhOTczNzU2NTU1XkEyXkFqcGdeQXVyODY3NjMyMDU@._V1_UY98_CR4,0,67,98_AL_.jpg",drama music romance hindi 154.0 1 drama music romance a coming of age story based on the lives of street rappers in mumbai vijay varma nakul roshan sahdev ranveer singh vijay raaz
special chabbis,crime drama thriller,a gang of con men rob prominent rich businessmen and politicians by posing as c b i and income tax officers,hindi,144.0,1,8.0,akshay kumar anupam kher manoj bajpayee jimmy sheirgill,crime drama thriller,imdb,"https://m.media-amazon.com/images/M/MV5BMTQ1NDI5MjMzNF5BMl5BanBnXkFtZTcwMTc0MDQwOQ@@._V1_UY98_CR0,0,67,98_AL_.jpg",crime drama thriller hindi 144.0 1 crime drama thriller a gang of con men rob prominent rich businessmen and politicians by posing as c b i and income tax officers akshay kumar anupam kher manoj bajpayee jimmy sheirgill
short term 12,drama,a 20 something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co worker and longtime boyfriend,english,96.0,1,8.0,brie larson frantz turner john gallagher jr kaitlyn dever,drama,imdb,"https://m.media-amazon.com/images/M/MV5BMTEwNjE2OTM4NDZeQTJeQWpwZ15BbWU3MDE2MTE4OTk@._V1_UX67_CR0,0,67,98_AL_.jpg",drama english 96.0 1 drama a 20 something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co worker and longtime boyfriend brie larson frantz turner john gallagher jr kaitlyn dever
serbuan maut 2 berandal,action crime thriller,only a short time after the first raid rama goes undercover with the thugs of jakarta and plans to bring down the syndicate and uncover the corruption within his police force,english,150.0,1,8.0,iko uwais yayan ruhian arifin putra oka antara,action crime thriller,imdb,"https://m.media-amazon.com/images/M/MV5BMTg5MTE2NjA4OV5BMl5BanBnXkFtZTgwMTUyMjczMTE@._V1_UX67_CR0,0,67,98_AL_.jpg",action crime thriller english 150.0 1 action crime thriller only a short time after the first raid rama goes undercover with the thugs of jakarta and plans to bring down the syndicate and uncover the corruption within his police force iko uwais yayan ruhian arifin putra oka antara
the imitation game,biography drama thriller,during world war ii the english mathematical genius alan turing tries to crack the german enigma code with help from fellow mathematicians,english,114.0,1,8.0,benedict cumberbatch keira knightley matthew goode allen leech,biography drama thriller,imdb,"https://m.media-amazon.com/images/M/MV5BOTgwMzFiMWYtZDhlNS00ODNkLWJiODAtZDVhNzgyNzJhYjQ4L2ltYWdlXkEyXkFqcGdeQXVyNzEzOTYxNTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",biography drama thriller english 114.0 1 biography drama thriller during world war ii the english mathematical genius alan turing tries to crack the german enigma code with help from fellow mathematicians benedict cumberbatch keira knightley matthew goode allen leech
guardians of the galaxy,action adventure comedy,a group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe,english,121.0,1,8.0,chris pratt vin diesel bradley cooper zoe saldana,action adventure comedy,imdb,"https://m.media-amazon.com/images/M/MV5BMTAwMjU5OTgxNjZeQTJeQWpwZ15BbWU4MDUxNDYxODEx._V1_UX67_CR0,0,67,98_AL_.jpg",action adventure comedy english 121.0 1 action adventure comedy a group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe chris pratt vin diesel bradley cooper zoe saldana
blade runner 2049,action drama mystery,young blade runner k s discovery of a long buried secret leads him to track down former blade runner rick deckard who s been missing for thirty years,english,164.0,1,8.0,harrison ford ryan gosling ana de armas dave bautista,action drama mystery,imdb,"https://m.media-amazon.com/images/M/MV5BNzA1Njg4NzYxOV5BMl5BanBnXkFtZTgwODk5NjU3MzI@._V1_UX67_CR0,0,67,98_AL_.jpg",action drama mystery english 164.0 1 action drama mystery young blade runner k s discovery of a long buried secret leads him to track down former blade runner rick deckard who s been missing for thirty years harrison ford ryan gosling ana de armas dave bautista
her,drama romance sci fi,in a near future a lonely writer develops an unlikely relationship with an operating system designed to meet his every need,english,126.0,1,8.0,joaquin phoenix amy adams scarlett johansson rooney mara,drama romance sci fi,imdb,"https://m.media-amazon.com/images/M/MV5BMjA1Nzk0OTM2OF5BMl5BanBnXkFtZTgwNjU2NjEwMDE@._V1_UX67_CR0,0,67,98_AL_.jpg",drama romance sci fi english 126.0 1 drama romance sci fi in a near future a lonely writer develops an unlikely relationship with an operating system designed to meet his every need joaquin phoenix amy adams scarlett johansson rooney mara
bohemian rhapsody,biography drama music,the story of the legendary british rock band queen and lead singer freddie mercury leading up to their famous performance at live aid 1985,english,134.0,1,8.0,rami malek lucy boynton gwilym lee ben hardy,biography drama music,imdb,"https://m.media-amazon.com/images/M/MV5BMTA2NDc3Njg5NDVeQTJeQWpwZ15BbWU4MDc1NDcxNTUz._V1_UX67_CR0,0,67,98_AL_.jpg",biography drama music english 134.0 1 biography drama music the story of the legendary british rock band queen and lead singer freddie mercury leading up to their famous performance at live aid 1985 rami malek lucy boynton gwilym lee ben hardy
the revenant,action adventure drama,a frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team,english,156.0,1,8.0,leonardo dicaprio tom hardy will poulter domhnall gleeson,action adventure drama,imdb,"https://m.media-amazon.com/images/M/MV5BMDE5OWMzM2QtOTU2ZS00NzAyLWI2MDEtOTRlYjIxZGM0OWRjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UX67_CR0,0,67,98_AL_.jpg",action adventure drama english 156.0 1 action adventure drama a frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team leonardo dicaprio tom hardy will poulter domhnall gleeson
the perks of being a wallflower,drama romance,an introvert freshman is taken under the wings of two seniors who welcome him to the real world,english,103.0,1,8.0,logan lerman emma watson ezra miller paul rudd,drama romance,imdb,"https://m.media-amazon.com/images/M/MV5BZThjMmQ5YjktMTUyMC00MjljLWJmMTAtOWIzNDIzY2VhNzQ0XkEyXkFqcGdeQXVyMTAyNjg4NjE0._V1_UX67_CR0,0,67,98_AL_.jpg",drama romance english 103.0 1 drama romance an introvert freshman is taken under the wings of two seniors who welcome him to the real world logan lerman emma watson ezra miller paul rudd
tropa de elite 2 o inimigo agora outro,action crime drama,after a prison riot former captain nascimento now a high ranking security officer in rio de janeiro is swept into a bloody political dispute that involves government officials and paramilitary groups,english,115.0,1,8.0,wagner moura irandhir santos andr ramiro milhem cortaz,action crime drama,imdb,"https://m.media-amazon.com/images/M/MV5BMjEzMzMxOTUyNV5BMl5BanBnXkFtZTcwNjI3MDc5Ng@@._V1_UX67_CR0,0,67,98_AL_.jpg",action crime drama english 115.0 1 action crime drama after a prison riot former captain nascimento now a high ranking security officer in rio de janeiro is swept into a bloody political dispute that involves government officials and paramilitary groups wagner moura irandhir santos andr ramiro milhem cortaz
the king s speech,biography drama history,the story of king george vi his impromptu ascension to the throne of the british empire in 1936 and the speech therapist who helped the unsure monarch overcome his stammer,english,118.0,1,8.0,colin firth geoffrey rush helena bonham carter derek jacobi,biography drama history,imdb,"https://m.media-amazon.com/images/M/MV5BMzU5MjEwMTg2Nl5BMl5BanBnXkFtZTcwNzM3MTYxNA@@._V1_UY98_CR0,0,67,98_AL_.jpg",biography drama history english 118.0 1 biography drama history the story of king george vi his impromptu ascension to the throne of the british empire in 1936 and the speech therapist who helped the unsure monarch overcome his stammer colin firth geoffrey rush helena bonham carter derek jacobi
the help,drama,an aspiring author during the civil rights movement of the 1960s decides to write a book detailing the african american maids point of view on the white families for which they work and the hardships they go through on a daily basis,english,146.0,1,8.0,emma stone viola davis octavia spencer bryce dallas howard,drama,imdb,"https://m.media-amazon.com/images/M/MV5BMTM5OTMyMjIxOV5BMl5BanBnXkFtZTcwNzU4MjIwNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",drama english 146.0 1 drama an aspiring author during the civil rights movement of the 1960s decides to write a book detailing the african american maids point of view on the white families for which they work and the hardships they go through on a daily basis emma stone viola davis octavia spencer bryce dallas howard
deadpool,action adventure comedy,a wisecracking mercenary gets experimented on and becomes immortal but ugly and sets out to track down the man who ruined his looks,english,108.0,1,8.0,ryan reynolds morena baccarin t j miller ed skrein,action adventure comedy,imdb,"https://m.media-amazon.com/images/M/MV5BYzE5MjY1ZDgtMTkyNC00MTMyLThhMjAtZGI5OTE1NzFlZGJjXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",action adventure comedy english 108.0 1 action adventure comedy a wisecracking mercenary gets experimented on and becomes immortal but ugly and sets out to track down the man who ruined his looks ryan reynolds morena baccarin t j miller ed skrein
darbareye elly,drama mystery,the mysterious disappearance of a kindergarten teacher during a picnic in the north of iran is followed by a series of misadventures for her fellow travelers,english,119.0,1,8.0,golshifteh farahani shahab hosseini taraneh alidoosti merila zare i,drama mystery,imdb,"https://m.media-amazon.com/images/M/MV5BMTQ0MzQxODQ0MV5BMl5BanBnXkFtZTgwNTQ0NzY4NDE@._V1_UX67_CR0,0,67,98_AL_.jpg",drama mystery english 119.0 1 drama mystery the mysterious disappearance of a kindergarten teacher during a picnic in the north of iran is followed by a series of misadventures for her fellow travelers golshifteh farahani shahab hosseini taraneh alidoosti merila zare i
dev d,drama romance,after breaking up with his childhood sweetheart a young man finds solace in drugs meanwhile a teenage girl is caught in the world of prostitution will they be destroyed or will they find redemption,hindi,144.0,1,8.0,abhay deol mahie gill kalki koechlin dibyendu bhattacharya,drama romance,imdb,"https://m.media-amazon.com/images/M/MV5BYjU1NjczNzYtYmFjOC00NzkxLTg4YTUtNGYzMTk3NTU0ZDE3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY98_CR0,0,67,98_AL_.jpg",drama romance hindi 144.0 1 drama romance after breaking up with his childhood sweetheart a young man finds solace in drugs meanwhile a teenage girl is caught in the world of prostitution will they be destroyed or will they find redemption abhay deol mahie gill kalki koechlin dibyendu bhattacharya
yip man,action biography drama,during the japanese invasion of china a wealthy martial artist is forced to leave his home when his city is occupied with little means of providing for themselves ip man and the remaining members of the city must find a way to survive,english,106.0,1,8.0,donnie yen simon yam siu wong fan ka tung lam,action biography drama,imdb,"https://m.media-amazon.com/images/M/MV5BNTFmMjM3M2UtOTIyZC00Zjk3LTkzODUtYTdhNGRmNzFhYzcyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",action biography drama english 106.0 1 action biography drama during the japanese invasion of china a wealthy martial artist is forced to leave his home when his city is occupied with little means of providing for themselves ip man and the remaining members of the city must find a way to survive donnie yen simon yam siu wong fan ka tung lam
my name is khan,drama,an indian muslim man with asperger s syndrome takes a challenge to speak to the president of the united states seriously and embarks on a cross country journey,hindi,165.0,1,8.0,shah rukh khan kajol sheetal menon katie a keane,drama,imdb,"https://m.media-amazon.com/images/M/MV5BMTUyMTA4NDYzMV5BMl5BanBnXkFtZTcwMjk5MzcxMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",drama hindi 165.0 1 drama an indian muslim man with asperger s syndrome takes a challenge to speak to the president of the united states seriously and embarks on a cross country journey shah rukh khan kajol sheetal menon katie a keane
nefes vatan sagolsun,action drama thriller,story of 40 man turkish task force who must defend a relay station,english,128.0,1,8.0,erdem can mete horozoglu ilker kizmaz baris bagci,action drama thriller,imdb,"https://m.media-amazon.com/images/M/MV5BMjE2NjEyMDg0M15BMl5BanBnXkFtZTcwODYyODg5Mg@@._V1_UY98_CR0,0,67,98_AL_.jpg",action drama thriller english 128.0 1 action drama thriller story of 40 man turkish task force who must defend a relay station erdem can mete horozoglu ilker kizmaz baris bagci
slumdog millionaire,drama romance,a mumbai teenager reflects on his life after being accused of cheating on the indian version of who wants to be a millionaire,english,120.0,1,8.0,loveleen tandan dev patel freida pinto saurabh shukla,drama romance,imdb,"https://m.media-amazon.com/images/M/MV5BZmNjZWI3NzktYWI1Mi00OTAyLWJkNTYtMzUwYTFlZDA0Y2UwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",drama romance english 120.0 1 drama romance a mumbai teenager reflects on his life after being accused of cheating on the indian version of who wants to be a millionaire loveleen tandan dev patel freida pinto saurabh shukla
black swan,drama thriller,a committed dancer struggles to maintain her sanity after winning the lead role in a production of tchaikovsky s swan lake,english,108.0,1,8.0,natalie portman mila kunis vincent cassel winona ryder,drama thriller,imdb,"https://m.media-amazon.com/images/M/MV5BNzY2NzI4OTE5MF5BMl5BanBnXkFtZTcwMjMyNDY4Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",drama thriller english 108.0 1 drama thriller a committed dancer struggles to maintain her sanity after winning the lead role in a production of tchaikovsky s swan lake natalie portman mila kunis vincent cassel winona ryder
tropa de elite,action crime drama,in 1997 rio de janeiro captain nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the pope visits,english,115.0,1,8.0,wagner moura andr ramiro caio junqueira milhem cortaz,action crime drama,imdb,"https://m.media-amazon.com/images/M/MV5BYmI1ODU5ZjMtNWUyNC00YzllLThjNzktODE1M2E4OTVmY2E5XkEyXkFqcGdeQXVyMTExNzQzMDE0._V1_UY98_CR1,0,67,98_AL_.jpg",action crime drama english 115.0 1 action crime drama in 1997 rio de janeiro captain nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the pope visits wagner moura andr ramiro caio junqueira milhem cortaz
the avengers,action adventure sci fi,earth s mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous loki and his alien army from enslaving humanity,english,143.0,1,8.0,robert downey jr chris evans scarlett johansson jeremy renner,action adventure sci fi,imdb,"https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",action adventure sci fi english 143.0 1 action adventure sci fi earth s mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous loki and his alien army from enslaving humanity robert downey jr chris evans scarlett johansson jeremy renner
persepolis,animation biography drama,a precocious and outspoken iranian girl grows up during the islamic revolution,english,96.0,1,8.0,marjane satrapi chiara mastroianni catherine deneuve gena rowlands,animation biography drama,imdb,"https://m.media-amazon.com/images/M/MV5BMGRkZThmYzEtYjQxZC00OWEzLThjYjAtYzFkMjY0NGZkZWI4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",animation biography drama english 96.0 1 animation biography drama a precocious and outspoken iranian girl grows up during the islamic revolution marjane satrapi chiara mastroianni catherine deneuve gena rowlands
dallas buyers club,biography drama,in 1985 dallas electrician and hustler ron woodroof works around the system to help aids patients get the medication they need after he is diagnosed with the disease,english,117.0,1,8.0,matthew mcconaughey jennifer garner jared leto steve zahn,biography drama,imdb,"https://m.media-amazon.com/images/M/MV5BMTYwMTA4MzgyNF5BMl5BanBnXkFtZTgwMjEyMjE0MDE@._V1_UX67_CR0,0,67,98_AL_.jpg",biography drama english 117.0 1 biography drama in 1985 dallas electrician and hustler ron woodroof works around the system to help aids patients get the medication they need after he is diagnosed with the disease matthew mcconaughey jennifer garner jared leto steve zahn
the pursuit of happyness,biography drama,a struggling salesman takes custody of his son as he s poised to begin a life changing professional career,english,117.0,1,8.0,will smith thandie newton jaden smith brian howe,biography drama,imdb,"https://m.media-amazon.com/images/M/MV5BMTQ5NjQ0NDI3NF5BMl5BanBnXkFtZTcwNDI0MjEzMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",biography drama english 117.0 1 biography drama a struggling salesman takes custody of his son as he s poised to begin a life changing professional career will smith thandie newton jaden smith brian howe
blood diamond,adventure drama thriller,a fisherman a smuggler and a syndicate of businessmen match wits over the possession of a priceless diamond,english,143.0,1,8.0,leonardo dicaprio djimon hounsou jennifer connelly kagiso kuypers,adventure drama thriller,imdb,"https://m.media-amazon.com/images/M/MV5BZDMxOGZhNWYtMzRlYy00Mzk5LWJjMjEtNmQ4NDU4M2QxM2UzXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX67_CR0,0,67,98_AL_.jpg",adventure drama thriller english 143.0 1 adventure drama thriller a fisherman a smuggler and a syndicate of businessmen match wits over the possession of a priceless diamond leonardo dicaprio djimon hounsou jennifer connelly kagiso kuypers
the bourne ultimatum,action mystery thriller,jason bourne dodges a ruthless c i a official and his agents from a new assassination program while searching for the origins of his life as a trained killer,english,115.0,1,8.0,matt damon edgar ram rez joan allen julia stiles,action mystery thriller,imdb,"https://m.media-amazon.com/images/M/MV5BNGNiNmU2YTMtZmU4OS00MjM0LTlmYWUtMjVlYjAzYjE2N2RjXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",action mystery thriller english 115.0 1 action mystery thriller jason bourne dodges a ruthless c i a official and his agents from a new assassination program while searching for the origins of his life as a trained killer matt damon edgar ram rez joan allen julia stiles
bin jip,crime drama romance,a transient young man breaks into empty homes to partake of the vacationing residents lives for a few days,english,88.0,1,8.0,seung yun lee hee jae hyuk ho kwon jin mo joo,crime drama romance,imdb,"https://m.media-amazon.com/images/M/MV5BMTM1ODIwNzM5OV5BMl5BanBnXkFtZTcwNjk5MDkyMQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",crime drama romance english 88.0 1 crime drama romance a transient young man breaks into empty homes to partake of the vacationing residents lives for a few days seung yun lee hee jae hyuk ho kwon jin mo joo
sin city,crime thriller,a movie that explores the dark and miserable town basin city tells the story of three different people all caught up in violent corruption,english,124.0,1,8.0,quentin tarantino robert rodriguez mickey rourke clive owen,crime thriller,imdb,"https://m.media-amazon.com/images/M/MV5BODZmYjMwNzEtNzVhNC00ZTRmLTk2M2UtNzE1MTQ2ZDAxNjc2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",crime thriller english 124.0 1 crime thriller a movie that explores the dark and miserable town basin city tells the story of three different people all caught up in violent corruption quentin tarantino robert rodriguez mickey rourke clive owen
le scaphandre et le papillon,biography drama,the true story of elle editor jean dominique bauby who suffers a stroke and has to live with an almost totally paralyzed body only his left eye isn t paralyzed,english,112.0,1,8.0,laura obiols mathieu amalric emmanuelle seigner marie jos e croze,biography drama,imdb,"https://m.media-amazon.com/images/M/MV5BMTc3MjkzMDkxN15BMl5BanBnXkFtZTcwODAyMTU1MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",biography drama english 112.0 1 biography drama the true story of elle editor jean dominique bauby who suffers a stroke and has to live with an almost totally paralyzed body only his left eye isn t paralyzed laura obiols mathieu amalric emmanuelle seigner marie jos e croze
g o r a,adventure comedy sci fi,a slick young turk kidnapped by extraterrestrials shows his great humanitarian spirit by outwitting the evil commander in chief of the planet of g o r a,english,127.0,1,8.0,cem yilmaz zge zberk ozan g ven safak sezer,adventure comedy sci fi,imdb,"https://m.media-amazon.com/images/M/MV5BMjE0MTY2MDI3NV5BMl5BanBnXkFtZTcwNTc1MzEzMQ@@._V1_UY98_CR2,0,67,98_AL_.jpg",adventure comedy sci fi english 127.0 1 adventure comedy sci fi a slick young turk kidnapped by extraterrestrials shows his great humanitarian spirit by outwitting the evil commander in chief of the planet of g o r a cem yilmaz zge zberk ozan g ven safak sezer
ratatouille,animation adventure comedy,a rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant,english,111.0,1,8.0,jan pinkava brad garrett lou romano patton oswalt,animation adventure comedy,imdb,"https://m.media-amazon.com/images/M/MV5BMTMzODU0NTkxMF5BMl5BanBnXkFtZTcwMjQ4MzMzMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",animation adventure comedy english 111.0 1 animation adventure comedy a rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant jan pinkava brad garrett lou romano patton oswalt
casino royale,action adventure thriller,after earning 00 status and a licence to kill secret agent james bond sets out on his first mission as 007 bond must defeat a private banker funding terrorists in a high stakes game of poker at casino royale montenegro,english,144.0,1,8.0,daniel craig eva green judi dench jeffrey wright,action adventure thriller,imdb,"https://m.media-amazon.com/images/M/MV5BMDI5ZWJhOWItYTlhOC00YWNhLTlkNzctNDU5YTI1M2E1MWZhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX67_CR0,0,67,98_AL_.jpg",action adventure thriller english 144.0 1 action adventure thriller after earning 00 status and a licence to kill secret agent james bond sets out on his first mission as 007 bond must defeat a private banker funding terrorists in a high stakes game of poker at casino royale montenegro daniel craig eva green judi dench jeffrey wright
